OSKMcMycOpen,BSGMcMycOpen,GETMcMycOpen,GETME_EScMycOpen,GETME_TScMycOpen,OSKMcMycClose,BSGMcMycClose,GETMcMycClose,GETME_EScMycClose,GETME_TScMycClose
AI837181,Acot2,Abca4,Abcf1,Aarsd1,Ap5z1,,Adamts9,Afap1l2,Adcyap1r1
AU015836,Acot6,Abcb6,Abcf2,Aasdh,Apbb2,,Adamtsl1,Aff1,Add2
AU040320,Acsl1,Abcb9,Abcg2,Aasdhppt,Apc,,Adamtsl3,Aff2,Add3
Aaas,Acsl5,Abcc10,Abhd12,Abca1,Apc2,,Adamtsl4,Aff3,Adipor1
Aak1,Actb,Abcf1,Abhd14a,Abca2,Aph1a,,Adar,Aff4,Adra1b
Aars,Actg1,Abcg2,Abhd15,Abca4,Aqp3,,Adarb1,Agap1,Adra2a
Aarsd1,Actn1,Abhd12,Abhd16a,Abcb1b,Aqp9,,Adcy5,Agbl3,Adrb2
Aasdh,Actn4,Abhd14a,Abhd17c,Abcb9,Arap1,,Adcy8,Agpat5,Adsl
Aatf,Acy1,Abhd4,Abhd4,Abcc1,Arap2,,Adcy9,Agps,Afap1
Abca1,Adam10,Abhd5,Abi1,Abcc10,Areg,,Adcyap1r1,Ahr,Afap1l2
Abca2,Adam15,Abi1,Abi2,Abcc5,Arfgap3,,Add1,Ahrr,Aff1
Abca3,Adam9,Abi3,Abi3,Abcd3,Arhgap18,,Add2,Aim1,Aff2
Abca4,Adamts1,Abl1,Abi3bp,Abce1,Arhgap22,,Adi1,Ak2,Aff3
Abca5,Adamts14,Ablim1,Abl2,Abcf1,Arhgap23,,Adora2b,Akap11,Aff4
Abcb10,Adck5,Ablim2,Ablim1,Abcg2,Arhgap24,,Adra1b,Akap12,Agap1
Abcb1b,Adcy3,Abr,Ablim2,Abhd10,Arhgap42,,Adra2a,Akap6,Agbl3
Abcb4,Adcy6,Abracl,Abr,Abhd12,Arhgef10l,,Adrb1,Akap7,Agpat3
Abcb6,Add3,Acaa2,Abracl,Abhd14a,Arhgef12,,Adrb2,Akip1,Agpat5
Abcb7,Adh5,Acaca,Abt1,Abhd15,Arhgef33,,Adsl,Alcam,Agtpbp1
Abcc12,Adi1,Acacb,Abtb2,Abhd16a,Arhgef5,,Adss,Aldh3b2,Agtr1a
Abcc4,Adnp,Acad9,Acaa2,Abhd4,Arid2,,Adssl1,Aldh9a1,Ahr
Abcd1,Adnp2,Acads,Acaca,Abhd6,Arl4a,,Aebp2,Alox5,Ahrr
Abcd4,Ado,Acan,Acacb,Abi1,Armc2,,Aff1,Alpk3,Aim1
